Frequency	Channel A
(MHz)	(dBu)

0.76389313	-72.21281000
0.76484680	-75.41683000
0.76580048	-78.59041000
0.76675415	-83.78086000
0.76770782	-86.53968000
0.76866150	-76.07121000
0.76961517	-78.44942000
0.77056885	-80.70187000
0.77152252	-80.34782000
0.77247620	-70.07213000
0.77342987	-69.56605000
0.77438354	-73.28213000
0.77533722	-74.00225000
0.77629089	-72.34865000
0.77724457	-72.40214000
0.77819824	-73.08398000
0.77915192	-70.82502000
0.78010559	-73.11741000
0.78105927	-82.65971000
0.78201294	-82.48864000
0.78296661	-83.78392000
0.78392029	-77.82693000
0.78487396	-84.09081000
0.78582764	-74.71260000
0.78678131	-69.17844000
0.78773499	-70.41491000
0.78868866	-74.82443000
0.78964233	-75.02363000
0.79059601	-76.09227000
0.79154968	-70.70228000
0.79250336	-69.25835000
0.79345703	-73.90510000
0.79441071	-84.04766000
0.79536438	-74.84350000
0.79631805	-70.44241000
0.79727173	-71.63644000
0.79822540	-72.21323000
0.79917908	-77.51850000
0.80013275	-84.65988000
0.80108643	-80.40233000
0.80204010	-79.59081000
0.80299377	-84.61707000
0.80394745	-80.11635000
0.80490112	-72.72582000
0.80585480	-70.35059000
0.80680847	-69.81435000
0.80776215	-69.07755000
0.80871582	-70.03680000
0.80966949	-71.44437000
0.81062317	-71.51085000
0.81157684	-70.71965000
0.81253052	-70.51302000
0.81348419	-75.12117000
0.81443787	-87.73672000
0.81539154	-76.99155000
0.81634521	-79.86050000
0.81729889	-87.89920000
0.81825256	-76.57550000
0.81920624	-74.53245000
0.82015991	-75.87842000
0.82111359	-76.04755000
0.82206726	-75.21425000
0.82302094	-71.59099000
0.82397461	-69.70357000
0.82492828	-71.45002000
0.82588196	-74.79503000
0.82683563	-80.94664000
0.82778931	-82.21940000
0.82874298	-85.69702000
0.82969666	-78.14388000
0.83065033	-73.45321000
0.83160400	-76.51412000
0.83255768	-86.05006000
0.83351135	-81.18796000
0.83446503	-77.12749000
0.83541870	-73.80600000
0.83637238	-71.07969000
0.83732605	-72.14436000
0.83827972	-84.35278000
0.83923340	-75.04375000
0.84018707	-72.77586000
0.84114075	-75.69380000
0.84209442	-88.41330000
0.84304810	-79.92231000
0.84400177	-79.65555000
0.84495544	-80.44144000
0.84590912	-72.24515000
0.84686279	-70.26950000
0.84781647	-69.23595000
0.84877014	-68.80027000
0.84972382	-69.47243000
0.85067749	-71.06278000
0.85163116	-71.30489000
0.85258484	-73.39014000
0.85353851	-71.92925000
0.85449219	-72.93723000
0.85544586	-73.78114000
0.85639954	-72.16287000
0.85735321	-72.23014000
0.85830688	-74.89560000
0.85926056	-78.55273000
0.86021423	-77.24961000
0.86116791	-76.17583000
0.86212158	-77.04923000
0.86307526	-77.43605000
0.86402893	-76.00880000
0.86498260	-77.99512000
0.86593628	-77.56589000
0.86688995	-78.19051000
0.86784363	-86.86040000
0.86879730	-78.14340000
0.86975098	-73.40361000
0.87070465	-71.13019000
0.87165833	-72.15186000
0.87261200	-73.08591000
0.87356567	-71.01514000
0.87451935	-75.91931000
0.87547302	-89.51463000
0.87642670	-81.45198000
0.87738037	-78.44886000
0.87833405	-82.54053000
0.87928772	-73.79815000
0.88024139	-77.04460000
0.88119507	-83.42390000
0.88214874	-84.51268000
0.88310242	-78.90298000
0.88405609	-71.12262000
0.88500977	-74.71432000
0.88596344	-79.35876000
0.88691711	-77.03063000
